15-11-2012	15-11-2012		15/11/2012	2012-11-16 00:00:00	CANCELED	15/11/2012 - 14:27
15-11-20122	15-11-20122		15/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	15/11/2012 - 15:13
15-11-20123	15-11-20122		15/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	15/11/2012 - 15:14
2k3r2_32bit_Dev	2k3r2_32bit_Dev		22/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	23/05/2013 - 11:39
51aixrebtest	fsdf		08/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	13/05/2013 - 11:20
5servertest	2008		21/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	22/05/2013 - 17:49
61aixtestscript1	tsc		08/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	13/05/2013 - 11:01
8dagentest	test		22/04/2013	2013-04-30 12:25:00	DECOMMISSIONED	22/04/2013 - 15:40
8dagentest2	TEST		22/04/2013	2013-04-30 13:07:00	DECOMMISSIONED	24/04/2013 - 10:25
ABS-Robuust	ABS Robuust		08/02/2019	9999-12-30 00:00:00	DECOMMISSIONED	22/02/2019 - 15:41
Active Directory	AD en overige Windows servers	Edward Elgeti	11/02/2013	9999-12-30 00:00:00	Operational	11/02/2013 - 12:26
AD/DC in DEV	AD/DC in DEV		24/04/2013	9999-12-30 00:00:00	CANCELED	24/04/2013 - 15:08
ADD	Active Directory Development		22/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	22/11/2012 - 20:50
ADLinux	Linux Beheer		18/09/2014	9999-12-30 00:00:00	DECOMMISSIONED	21/10/2014 - 08:08
ADT	Active Directory Test server		22/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	22/11/2012 - 20:51
adtest	testen van ad ibm		02/06/2014	2014-06-16 08:05:00	DECOMMISSIONED	12/06/2014 - 09:22
AD_Linux	AD_Linux		04/09/2014	9999-12-30 00:00:00	DECOMMISSIONED	18/09/2014 - 11:27
AI	AI		01/05/2020	9999-12-30 01:00:00	Operational	01/05/2020 - 12:24
AIX Vullen	AIX Vullen		12/03/2013	9999-12-30 00:00:00	DECOMMISSIONED	09/04/2013 - 18:07
aix5rebotest	sf		07/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	07/05/2013 - 17:36
aix5test1	test		11/03/2013	9999-12-30 00:00:00	DECOMMISSIONED	22/04/2013 - 10:59
aixadddisktest	sdfjj		13/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	23/05/2013 - 11:56
aixDev_test	a		23/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	28/05/2013 - 13:52
AIX_backup_test			10/07/2015	2015-07-10 13:41:00	Decommissioned	02/08/2015 - 10:00
aix_max_test	testjes		02/04/2013	9999-12-30 00:00:00	DECOMMISSIONED	02/04/2013 - 15:23
AMG Catalog	AMG Catalog		11/03/2019	9999-12-30 00:00:00	Operational	11/03/2019 - 13:10
AMG Gateway	AMG Gateway		06/03/2019	9999-12-30 00:00:00	Operational	06/03/2019 - 14:06
AMG Precision Monitoring	AMG Precision Monitoring		15/01/2019	9999-12-30 00:00:00	Operational	15/01/2019 - 11:30
AMG_ANTIVIRUS	AMG_ANTIVIRUS		28/11/2018	9999-12-30 00:00:00	Operational	28/11/2018 - 11:33
AO	AO ontwikkel en test servers		20/06/2013	9999-12-30 00:00:00	Operational	20/06/2013 - 15:05
AOC 2018	AOC		27/03/2018	9999-12-30 00:00:00	Operational	27/03/2018 - 10:30
APG-GIT_20171026	APG-GIT_20171026	Carcia Voorham	26/10/2017	2017-10-26 04:54:48	Operational	26/10/2017 - 07:11
API Gateway 2018	API Gateway jaar 2018	Rolf Bakels	19/01/2018	2018-12-31 22:01:11	Operational	03/01/2018 - 07:14
API-Gateway 2017	API-Gateway Praktijktoets	Rolf Bakels	29/08/2017	9999-12-30 00:00:00	DECOMMISSIONED	23/11/2017 - 09:15
ATAT	Maskering prod data	Edward Elgeti	21/09/2015	9999-12-30 00:00:00	Operational	21/09/2015 - 11:28
AUTO 07032019	AUTO 07032019		07/03/2019	9999-12-30 00:00:00	DRAFT	07/03/2019 - 15:40
AUTO 07032019	AUTO 07032019		07/03/2019	9999-12-30 00:00:00	CANCELED	07/03/2019 - 16:01
AUTO 07032019	AUTO 07032019		07/03/2019	9999-12-30 00:00:00	Operational	07/03/2019 - 17:03
AUTO 7-3-2019	AUTO 7-3-2019		07/03/2019	9999-12-30 00:00:00	CANCELED	07/03/2019 - 15:27
AVB DVB 2	AVB DVB 2		04/05/2016	9999-12-30 00:00:00	Operational	04/05/2016 - 17:36
AVB-DVB Pilot	Pilot server voor AVB/DVB		27/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	27/11/2012 - 11:04
AVB-DVB-Oracle-Pilot	De Oracle server voor de AVB-DVB pilot		18/12/2012	9999-12-30 00:00:00	DECOMMISSIONED	18/12/2012 - 14:42
AVB-DVB-pilot	AVB/DVB Pilot server		27/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	03/10/2016 - 13:05
AVB/DVB Pilot	Pilot server voor AVB/DVB		22/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	22/11/2012 - 20:52
BackupRestoreProject	Test BackupRestore		27/05/2014	9999-12-30 00:00:00	DECOMMISSIONED	07/07/2014 - 11:03
Banenafspraak	Dashboard Banenafspraak		04/02/2020	9999-12-30 01:00:00	DRAFT	04/02/2020 - 11:14
Banenafspraak	Dashboard Banenafspraak		04/02/2020	9999-12-30 01:00:00	DECOMMISSIONED	17/04/2020 - 14:08
BAS	Bas		02/07/2019	9999-12-30 00:00:00	DECOMMISSIONED	02/07/2019 - 16:14
Basisplatform app diensten	Basisplatform app diensten		15/10/2018	9999-12-30 00:00:00	Operational	15/10/2018 - 14:44
Basware	Basware test servers		05/06/2013	9999-12-30 00:00:00	CANCELED	05/06/2013 - 13:04
basware 2017	basware 2017		06/12/2017	9999-12-30 00:00:00	Operational	06/12/2017 - 14:37
BAS_20171010	BAS_20171010		16/10/2017	9999-12-30 00:00:00	Operational	16/10/2017 - 14:45
Bas_ware	Basware Test servers		05/06/2013	9999-12-30 00:00:00	DECOMMISSIONED	20/12/2018 - 08:13
BBS	BBS Betalingsonmacht systeem		01/08/2017	9999-12-30 00:00:00	Operational	01/08/2017 - 09:33
BeheerserverT			23/04/2013	9999-12-30 00:00:00	DECOMMISSIONED	02/05/2013 - 16:02
Bevindingen	Bevindingen test		24/01/2013	2013-02-07 14:13:00	CANCELED	24/01/2013 - 16:51
Bevindingen LPAR	Bevindingen LPAR		24/01/2013	2013-02-07 14:29:00	CANCELED	24/01/2013 - 17:21
Bevindingen LPAR 2	Bevindingen LPAR		05/02/2013	2013-03-01 12:47:00	DECOMMISSIONED	05/03/2013 - 14:18
Bevindingen VM	Bevindingen VM		05/02/2013	2013-03-01 12:49:00	DECOMMISSIONED	05/03/2013 - 14:09
big_fix_test	big_fix_test		27/06/2018	9999-12-30 00:00:00	DRAFT	27/06/2018 - 14:05
big_fix_test	big_fix_test		27/06/2018	9999-12-30 00:00:00	DECOMMISSIONED	26/10/2018 - 08:35
Bit	Bit ontwikkel en test servers		24/05/2013	9999-12-30 00:00:00	Operational	27/05/2013 - 15:28
Bit - MOM	Bit - MOM		16/09/2014	9999-12-30 00:00:00	Operational	16/09/2014 - 15:21
BIT 03092019	BIT 03092019		03/09/2019	9999-12-30 00:00:00	Operational	03/09/2019 - 12:25
bit_tijdelijk	bit_tijdelijk		10/05/2016	9999-12-30 00:00:00	DECOMMISSIONED	24/10/2019 - 10:30
BT Opleiding Server	BT Opleiding Server		11/01/2019	9999-12-30 00:00:00	Operational	11/01/2019 - 18:11
BVV	BVV		24/09/2019	9999-12-30 00:00:00	Operational	24/09/2019 - 13:26
C-DCT	C-DCT		29/12/2015	onbepaald	DRAFT	29/12/2015 - 11:38
C-DCT	C-DCT		29/12/2015	9999-12-30 00:00:00	Operational	29/12/2015 - 11:22
CBBS	CBBS in OTOD			onbepaald	DECOMMISSIONED	30/04/2014 - 11:54
CBBS	CBBS in Otod TEST		02/05/2014	9999-12-30 00:00:00	DECOMMISSIONED	05/05/2014 - 09:50
CBBS	CBBS in Otod Test		05/05/2014	9999-12-30 00:00:00	CANCELED	05/05/2014 - 09:54
CBBS	CBBS in Otod Test		14/05/2014	9999-12-30 00:00:00	CANCELED	14/05/2014 - 14:23
CBBS	CBBS in Otod Test		14/05/2014	9999-12-30 00:00:00	DECOMMISSIONED	06/08/2014 - 13:13
CBBS-T	CBBS in Otod Test		06/08/2014	9999-12-30 00:00:00	DECOMMISSIONED	27/12/2018 - 12:19
CCA-SAZP	CCA-SAZP		16/07/2019	9999-12-30 00:00:00	Operational	16/07/2019 - 10:39
CIA_OTOD1_20190401			01/04/2019	9999-12-30 00:00:00	CANCELED	01/04/2019 - 09:03
CIA_OTOD1_20190401			03/04/2019	9999-12-30 00:00:00	CANCELED	03/04/2019 - 07:59
CIA_OTOD1_20190401			03/04/2019	9999-12-30 00:00:00	DECOMMISSIONED	23/08/2019 - 09:07
Cloud Control	Cloud Control		22/10/2018	9999-12-30 00:00:00	Operational	22/10/2018 - 15:06
Confluence-Cricible	Confluence en Crucible Server		03/11/2016	9999-12-30 00:00:00	Operational	03/11/2016 - 08:49
Confluence-Crucible server	Confluence-Crucible server		01/11/2016	9999-12-30 00:00:00	DECOMMISSIONED	03/11/2016 - 08:42
coretestres	test		07/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	07/05/2013 - 17:42
Dagloon	Dagloon		02/06/2015	9999-12-30 00:00:00	DECOMMISSION_FAILED	19/07/2019 - 16:56
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	CANCELED	22/01/2019 - 12:14
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	DRAFT	22/01/2019 - 12:23
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	Operational	22/01/2019 - 13:21
Dashboard Banen			04/12/2018	9999-12-30 00:00:00	DECOMMISSIONED	19/06/2019 - 17:41
Data Analytics BCK	Data Analytics BCK		01/03/2019	9999-12-30 00:00:00	Operational	01/03/2019 - 11:01
Databasehotel	Databasehotel		14/03/2017	9999-12-30 00:00:00	CANCELED	14/03/2017 - 11:07
DatabaseHotel	DatabaseHotel		14/03/2017	9999-12-30 00:00:00	DECOMMISSIONED	14/03/2017 - 11:36
DatabaseHotel	DatabaseHotel		14/03/2017	9999-12-30 00:00:00	Operational	14/03/2017 - 11:57
Datacap	Datacap		21/09/2017	9999-12-30 00:00:00	Operational	21/09/2017 - 10:51
Datafabriek ETL 06082018	Datafabriek ETL 06082018		06/08/2018	9999-12-30 00:00:00	DRAFT	06/08/2018 - 12:46
Datafabriek ETL 06082018	Datafabriek ETL 06082018		06/08/2018	9999-12-30 00:00:00	DECOMMISSIONED	06/08/2018 - 15:04
DB-Hotel	Database Hotel		05/12/2016	onbepaald	DRAFT	05/12/2016 - 11:09
DB-Hotel	Database Hotel		05/12/2016	9999-12-30 00:00:00	DECOMMISSIONED	06/12/2016 - 16:54
