Api Catalog DEV	Redhat	4	24	30	200	€ 903.72
John testaanvraag	Redhat	2	8	30	128	€ 819.24
K_en_S-appl	Windows	2	4	100	100	€ 910.24
IQ	AIX	2	20	20	80	€ 853.82
Verzoek uitbreiding verdubbeling bestaande schijfruimte AIX databaseserver met 50Gb (ip: 10.140.176.68)	AIX	1	4	20	50	€ 842.78
Modernisering zakelijk portaal (achterkant)	Windows	2	4	100	50	€ 983.24
Modernisering zakelijk portaal (voorkant)	Windows	2	4	60	60	€ 939.44
vergelijking	Windows	2	4	135	0	€ 961.34
minimaal	Windows	1	4	60	0	€ 835.88
NaamBerekeningVanMij	Redhat	1	8	30	40	€ 790.14
Postcode server RedHat 5.9 (!!!)	Redhat	2	4	30	70	€ 849.9
Rekentools-O-Omgeving	Windows	2	12	60	40	€ 910.24
Werkbedrijf - Werk.nl - TO1 - SOA/OSB	Redhat	2	12	30	150	€ 966.7
Werkbedrijf - Werk.nl - TO1 - Weblogic portal	Redhat	2	12	30	150	€ 966.7
Werkbedrijf - Werk.nl - TO1 - Weblogic diensten domein	Redhat	2	12	30	150	€ 966.7
Werkbedrijf - Werk.nl - TO1 - Proxyserver	Redhat	2	6	30	70	€ 849.9
Werkbedrijf MQ Server	Windows	2	4	60	0	€ 851.84
DRL Ontwikkelomgeving Groot Onderhoud	Windows	4	16	100	100	€ 1088.16
Eenmijnomgeving	Redhat	4	16	30	120	€ 954.82
FLEKS Ontwikkel AIX	AIX	2	8	20	80	€ 926.82
PDI OTOD	AIX	1	32	20	200	€ 1061.78
Modus Ontwikkel omgeving	Windows	4	8	60	120	€ 1058.96
OTOD EA DIV	AIX	8	4	20	200	€ 1343.49
dtuestj	Windows	4	8	60	200	€ 1175.76
test1 van pdi025	Redhat	2	8	30	100	€ 893.7
Test1 van Admin	Windows	1	4	60	0	€ 835.88
